UI_SYSTEMCURSOR "System cursor"
INTRO_SPEECH_1	"I don't fear ghosts..."
RULES_TEMPLATEMG	This mini-game has not yet been coded. Click HELP three times to skip.
HINT1_TEMPLATEMG	"Not implemented."
HINT2_TEMPLATEMG	""
HINTQUERY1_TEMPLATEMG	"Not Implemented"
HINTQUERY2_TEMPLATEMG	"Not Implemented"
CAPTION_CONNECTMG	Connections
RULES_CONNECTMG	"Reconnect the red and blue circuits. Click the circles to swivel them."
HINT1_CONNECTMG	""
HINT2_CONNECTMG	""
HINTQUERY1_CONNECTMG	"Two rows of squares are now in place."
HINTQUERY2_CONNECTMG	"There are now only three rows of squares to put in place."
CAPTION_JIGSAWMG	Puzzle Picture
RULES_JIGSAWMG	"Reassemble the picture by positioning the squares in the right places."
HINT1_JIGSAWMG	""
HINT2_JIGSAWMG	""
HINTQUERY1_JIGSAWMG	"There are now fewer pieces in the puzzle."
HINTQUERY2_JIGSAWMG	"There are now even fewer pieces in the puzzle."
CAPTION_TREASUREMG	"The code"
RULES_TREASUREMG	"Find the code. Click on the digits."
HINT1_TREASUREMG	"The sum of all numbers is 20."
HINT2_TREASUREMG	"The first number is 8."
ENIGME_TREASUREMG	"All numbers are even.
The second is half the first.
The first is the highest.
All are different.
The last is less than five."

CAPTION_DIGITMG	"In the Sand"
RULES_DIGITMG	"Find where the pearl is buried by clicking the squares on the matrix. When you click a square, a number will indicate the distance in squares from the pearl, horizontally, vertically or diagonally.
You are allowed 6 tries."

HINT1_DIGITMG	""
HINT2_DIGITMG	""
HINTQUERY1_DIGITMG	"You are now allowed 8 tries."
HINTQUERY2_DIGITMG	"You are now allowed 10 tries."
CAPTION_MIKADOMG	"Sticks"
RULES_MIKADOMG	"Pick up the sticks in the correct order, starting with the top one and working your way down to the bottom of the pile."

HINT1_MIKADOMG	""
HINT2_MIKADOMG	""
HINTQUERY1_MIKADOMG	"There are now fewer branches to untangle."
HINTQUERY2_MIKADOMG	"There are even fewer branches to untangle!"
CAPTION_SIMONSHARKMG	"Find the treasure"
RULES_SIMONSHARKMG	"Memorize the pirate's movements and place a flag on each cross where the pirate goes. Your goal is to reach the treasure indicated by a red cross. Click Start to begin."
HINT1_SIMONSHARKMG	""
HINT2_SIMONSHARKMG	""
HINTQUERY1_SIMONSHARKMG	"The pirate will need to make fewer moves."
HINTQUERY2_SIMONSHARKMG	"The pirate will need to make even fewer moves!"
CAPTION_BONZAIMG	"Trim the Bonsai"
RULES_BONZAIMG	"Copy Natsumi's drawing by delicately trimming the bonsai. Go easy, otherwise you'll need to start again. Click the zones you wish to trim."
HINT1_BONZAIMG	""
HINT2_BONZAIMG	""
HINTQUERY1_BONZAIMG	"Start again, only this time with one less branch to trim."
HINTQUERY2_BONZAIMG	"Start again, only this time with two less branches to trim!"
CAPTION_UNSCREWMG	"Unscrew"
RULES_UNSCREWMG	"Undo the four screws. Right-click and you'll loosen the screw, left-click and you'll tighten it!
Note: The screws are linked. Loosening one might tighten another."

HINT1_UNSCREWMG	"You might want to take notes. Remember that right-clicking a screw loosens it."
HINT2_UNSCREWMG	"Loosen all the screws, one by one, from right to left and from top to bottom."
CAPTION_STONES	"Stones"
RULES_STONES	"Which arrangement of stones casts this shadow?
Select the correct one and submit."

HINT1_STONES	""
HINT2_STONES	""
HINTQUERY1_STONES	"One of the options has been eliminated."
HINTQUERY2_STONES	"Two options have been eliminated!"
CAPTION_ZENGARDEN	"Zen Garden"
RULES_ZENGARDEN	"Which is the correct aerial view of the Zen garden? Click to select one and then submit."
HINT1_ZENGARDEN	""
HINT2_ZENGARDEN	""
HINTQUERY1_ZENGARDEN	"One of the options has been eliminated."
HINTQUERY2_ZENGARDEN	"Two options have been eliminated!"
CAPTION_MASTERMINDMG	"Color Combination"
RULES_MASTERMINDMG	"Find the right combination of colored cobblestones. Try positioning four cobblestones of different colours where you see question marks. The water lilies will help you."
RULES1_MASTERMINDMG	"When you see a water lily with flowers, your cobblestone is in the right place"
RULES2_MASTERMINDMG	"A water lily without flowers indicates one of your cobblestones is correct, but in the wrong place"
COLORBLIND_MASTERMINDMG	If you are color blind, click here
COLORBLIND_MASTERMINDMG_DISABLE	If you are not color blind, click here
HINT1_MASTERMINDMG	""
HINT2_MASTERMINDMG	""
HINTQUERY1_MASTERMINDMG	"Now try with only seven colors"
HINTQUERY2_MASTERMINDMG	"Now try with only five colors"
CAPTION_PIANO	"Chessboard"
RULES_PIANO	"Play the music score on the piano by tapping the four highlighted keys."
HINT1_PIANO	"There are only four different runes on the score and dirty fingerprints on each of them. Press the right keys and you won't get dirty!"
HINT2_PIANO	"To play the music score correctly, match the runes from low to high with the piano keys from left to right."
HINTQUERY1_PIANO	""
HINTQUERY2_PIANO	""
CAPTION_CHESSMEMORY	"Checkerboard"
RULES_CHESSMEMORY	"You have 30 seconds to look at the checkerboards. Then answer the questions."
HINT1_CHESSMEMORY	""
HINT2_CHESSMEMORY	""
HINTQUERY1_CHESSMEMORY	"You are given 5 more seconds to look at the checkerboards."
HINTQUERY2_CHESSMEMORY	"You are given 5 more seconds to look at the checkerboards."
QUERY1_CHESSMEMORY	"Which checkerboard has the most ring counters?"
QUERY2_CHESSMEMORY	"Which checkerboard has the most full counters?"
QUERY3_CHESSMEMORY	"Which checkerboard has the most counters?"
QUERY4_CHESSMEMORY	"Which checkerboard has the least counters?"
QUERY5_CHESSMEMORY	"How many counters are there on this checkerboard?"
QUERY6_CHESSMEMORY	"How many ring counters are there on this checkerboard?"
QUERY7_CHESSMEMORY	"How many full counters are there on this checkerboard?"
CAPTION_MISSINGPARTS	"Patch"
RULES_MISSINGPARTS	"Identify the missing parts of the picture from the five different options. Select and hit SUBMIT."
HINT1_MISSINGPARTS	""
HINT2_MISSINGPARTS	""
HINTQUERY1_MISSINGPARTS	"Only one missing part left to identify!"
HINTQUERY2_MISSINGPARTS	"Now only three options!"
CAPTION_PHOTOCOMP	"Fresco"
RULES_PHOTOCOMP	"Complete the fresco by clicking each fragment and indicating its original position on the fresco."
HINT1_PHOTOCOMP	""
HINT2_PHOTOCOMP	""
HINTQUERY1_PHOTOCOMP	"Now only 4 fragments."
HINTQUERY2_PHOTOCOMP	"Now only 3 fragments!"
CAPTION_CUBES	"Cubes"
RULES_CUBES	"Take a good look at this assembly of cubes. In your opinion, how many cubes were used to build it?"
HINT1_CUBES	""
HINT2_CUBES	""
HINTQUERY1_CUBES	"The cube assembly has been simplified"
HINTQUERY2_CUBES	"The cube assembly has been simplified further"
QUERY_CUBES	"How many cubes are there?"
CAPTION_PLANTADDITION	Adding plants
RULES_PLANTADDITION	"Find the number correct number of each kind of plant so that the totals for each row and column tally up."
HINT1_PLANTADDITION	""
HINT2_PLANTADDITION	""
HINTQUERY1_PLANTADDITION	"You're given the value of the first plant"
HINTQUERY2_PLANTADDITION	"You're given the value of the second plant"
CAPTION_PLANTMEMORY	Memory Grid
RULES_PLANTMEMORY	"Study the grid then answer the question."
HINT1_PLANTMEMORY	""
HINT2_PLANTMEMORY	""
PLANTMEMORY_START	CLICK TO START
PLANTMEMORY_SHOW	Study the grid for...
PLANTMEMORY_TIME	seconds
PLANTMEMORY_V0_QUERY	In which square is this plant?
PLANTMEMORY_V0_HINT1	"One species of plant is visible."
PLANTMEMORY_V0_HINT2	"Two species of plant are visible."
PLANTMEMORY_V1_QUERY	In which square are plants of this color?
PLANTMEMORY_V1_HINT1	"One species of plant is visible."
PLANTMEMORY_V1_HINT2	"Two species of plant are visible."
PLANTMEMORY_V2_QUERY	What color is the plant on this square?
PLANTMEMORY_V2_HINT1	"You have more time to look at the grid."
PLANTMEMORY_V2_HINT2	"You have more time to look at the grid."
CAPTION_GARDENING	The 5 Symbols
RULES_GARDENING	"Complete the matrix: Every line and column must contain the five symbols with no repeats."
HINT1_GARDENING	""
HINT2_GARDENING	""
HINTQUERY1_GARDENING	"More pieces have been positioned for you."
HINTQUERY2_GARDENING	"Incorrectly positioned pieces will be indicated."
CAPTION_MIRORGRID	"Light game"
RULES_MIRORGRID	"Place 9 more mirrors so that each number is reflected by an identical number, directly and by ricochet."
HINT1_MIRORGRID	""
HINT2_MIRORGRID	""
HINTQUERY1_MIRORGRID	"One mirror is now positioned on the matrix for you."
HINTQUERY2_MIRORGRID	"Two more mirrors are now positioned on the matrix."
CAPTION_SYMBOLMATCH	"The secret of life"
RULES_SYMBOLMATCH	"Match each symbol with the pictures on the merchant's cards.
To do so, slide it under the corresponding card."

HINT1_SYMBOLMATCH	""
HINT2_SYMBOLMATCH	"Hint: Matches must be made between opposites."
HINTQUERY1_SYMBOLMATCH	"One pair has been made for you."
CAPTION_FLACONS	"Bottles"
RULES_FLACONS	"Position the bottles on squares with crosses.
Slide a bottle to move it."

HINT1_FLACONS	"Hint: To position the first one, use the other bottles."
HINT2_FLACONS	"The original position of the bottles has changed. The puzzle is now easier."
CAPTION_DICE	"The Dice"
RULES_DICE	"Rebuild the dice from the flat pattern. Shift the symbols and rotate by right-clicking. Hit SUBMIT to check your answer."
HINT1_DICE	""
HINT2_DICE	""
HINTQUERY1_DICE	"One side has been positioned for you."
HINTQUERY2_DICE	"A second side has been positioned for you."
CAPTION_DEMELAGE	"Untangling"
RULES_DEMELAGE	"Position the symbols on the pentagram so that none of the links between them intersects another link."
HINT1_DEMELAGE	""
HINT2_DEMELAGE	""
HINTQUERY1_DEMELAGE	"The outer links have been erased"
HINTQUERY2_DEMELAGE	"The points of the star have been positioned"

PENTAGRAM_QUERY "How many triangles are there?"

CAPTION_PENTAGRAM	"Pentagram"
RULES_PENTAGRAM	"Find the total number of triangles in the picture."
HINT1_PENTAGRAM	"Click the pentagram and the different types of triangle will be shown."
HINT2_PENTAGRAM	""
HINTQUERY2_PENTAGRAM	"The pentagram has been simplified"
CAPTION_MATCH3	"The Door to Hell"
RULES_MATCH3	"Dismantle the brick wall below the threshold indicated by the red line. Bricks must be matched in groups of three or more (horizontal or vertical) to disappear.
A brick can only be moved horizontally."

HINT1_MATCH3	""
HINT2_MATCH3	""
HINTQUERY1_MATCH3	"The threshold has been raised by a line"
HINTQUERY2_MATCH3	"The threshold has been raised by a line"
CHAPTER_EGYPT_CAPTION	A PHARAOH IN ANCIENT EGYPT
CHAPTER_ISLAND_CAPTION	A TALE OF PIRATES
CHAPTER_JAPAN_CAPTION	A JAPANESE GIRL TO BE WED
TITLE_CARIN	"June 14th 1947, Amityville, United States"
TITLE_LOADING	LOADING...
TITLE_LOADING2	Please wait
SUBTITLE_CARIN	"The arrival"
UI_TASKHINTNO	CLOSE
UI_TASK_GUIDE	TASK GUIDE	
INVENTORY_ASHLEY_BESTMOSAIC	I was always the best in pottery class!
INVENTORY_ASHLEY_WRISTFIXED	The pruning shears are repaired.
INVENTORY_ASHLEY_BENTO	Looks quite the part.
INVENTORY_ASHLEY_ENCENSNO	I might burn myself. I must put that down first.
INVENTORY_MONK_CAP	This looks like a cap!
INVENTORY_MONK_PESTLE	The piece of wood has been shaped.
INVENTORY_ASHLEY_ZIPPO	The lighter works now.
INVENTORY_ASHLEY_FIRE	No, better to put the twigs down first and then light them.
INVENTORY_MURRAY_BLOWPIPE	"Watch out, parrot!"
STONE_COMPLETED	"A soul gem is now active on the pendant."
inv_house_carkey	Car keys
HOUSE_OUT_TUTOASK	"Welcome, Ashley. Would you like to follow a quick tutorial?"
HOUSE_OUT_TUTO_TASK	"The guide lists your objectives and gives clues.
Open it to discover the first objective."

HOUSE_OUT_TUTO_CAR	"Explore the area with your cursor. The cursor will switch to a magnifying glass when zooming is possible.

First, click on the car door to look inside."

HOUSE_OUT_TUTO_CARKEY	"Look carefully for objects that may help you on your quest.

When the cursor switches to a hand you may collect an object."

HOUSE_OUT_TUTO_CARKEYOK	"To progress, use the objects you collect.

Now click on the key to use it."

HOUSE_OUT_TUTO_USECARKEY	"Place the key over the glove box and click again."
HOUSE_OUT_CARBOX_INFO	"It's locked!"
HOUSE_OUT_TUTO_ENTERHOUSE	"Your cursor will switch to footsteps when you're able to walk to another place.

Now click on the door of the house."

HOUSE_OUT_ASHLEY_ISAAC1	"Isaac... Wait for me while I get my things."
HOUSE_OUT_ASHLEY_ISAAC2	"Let's go Isaac."
HOUSE_OUT_ASHLEY_NEEDMAP	"First I must get the plan and the key I was given. I must have left them in the car."
HOUSE_OUT_ASHLEY_ZEPS	"Things are not looking up..."
PARVIS_ASHLEY_ENVELOPE	"I should take that envelope first. It looks like the one I was sent!"
PARVIS_READNOTICE	"It's a message from the anti-ghost militia:

LEAVE!!"

HOUSE_PARVIS_NAME_INFO	"Paul Wendell - Antiques collector"
PARVIS_THISHOUSE	"This house!
The same as in my dream..."

PARVIS_NOTICE	"Interesting"
PARVIS_ASHLEY_DOOROPEN	"It's locked. I'd better use the key."
PARVISVO1	"You face a closed door.
You're about to turn the handle..."

PARVIS_DIALOG_TUTO1	"Interact with the scene.
Your cursor will change to cogs where action of some sort is possible."

HALL_ASHLEY_ENTER1	"We made it inside. Very easy to get in,
don't you think Isaac?"

HALL_ASHLEY_ENTER2	"And I'm under the impression we're not alone..."
HALL_ASHLEY_DARK	"First we need some light."
HALL_NATHAN_WHOSTHERE	"Come in Ashley... don't be afraid, you're welcome here."
HALL_NATHAN_STARTHERE	"Come this way, Ashley. There's a soul who needs your help. You must begin your journey here..."
HALL_ASHLEY_JUSTME	"Hel... Hello.
We can talk just as soon as I get a light on, alright?"

HALL_TUTO_ITEM	"You now have a piece of the switch. Congratulations! Find the other two pieces to complete it."
HALL_TUTO_ITEMFULL	"The switch is now complete. Move it from your inventory to its rightful place on the wall."
HALL_ASHLEY_SWITCHBROKEN	"The switch is broken and parts are scattered on the floor."
HALL_ASHLEY_SWITCHPIECES	A missing piece of the switch.
HALL_ASHLEY_SWITCHFULL	The switch is repaired. Well done!
HALL_ASHLEY_SWITCHREPAIRED	The switch now works.
HALL_ASHLEY_SWITCHOFF	I feel less tense when it's on, so I'll leave it that way.
HALL_ASHLEY_ADVENTUREBEGIN	"Who was that? I must find a way to reach the second floor now."
HALL_ASHLEY_HEXA	"What a curious pendant!"
HALL_ASHLEY_STUCK	We're prisoners here!
HALL_ASHLEY_ARTCRITIC	Nice painting. But this is no time to hang around.
HALL_ASHLEY_NOTFINISH	I'm not finished here.
HALL_ASHLEY_NEEDWATER	Quickly, water! In the kitchen...
HALL_ASHLEY_STAIRSBROKEN	The staircase is broken, making it impossible to go upstairs.
HALL_ASHLEY_GROUNDFLOORRESOLVED	Great! I can now reach the second floor of the house.
HALL_ASHLEY_ISAACNO	Isaac - No!
HALL_ASHLEY_PLANT	I need something sharp.
HOUSE_HALL_ISAAC_INFO	"I'd need something to climb upward."
HALL_ASHLEY_NOTNOWDINING	"It's blocked!"
HALL_ASHLEY_LIVINGFIRST	I should first go to the living room as Nathan suggested.
HALL_ASHLEY_INCOMPLETEROPE	"I won't be able to climb this."
FIRSTFLOOR_ASHLEY_NOBACK	There's nothing more to do here.
FIRSTFLOOR_ASHLEY_ISAACREUNION	"Isaac, my brave companion - we're finally reunited! I won't feel so alone exploring this floor. I sense there are ghosts here!"
HOUSE_KITCHEN_ASHLEY_CALL999	"A lot of people were fooled by this form of state propaganda."
HOUSE_KITCHEN_ASHLEY_DAD	"All the pans are worn through"
HOUSE_KITCHEN_POLTER_WATER	I can't reach the faucet. I have to drive this poltergeist away first.
HOUSE_KITCHEN_VOICEOVER_NOWATER	There's no water.
HOUSE_KITCHEN_VOICEOVER_FILL	My saucepan's full of water.
HOUSE_KITCHEN_ASHLEY_ENOUGH	I think I have enough.
DININGROOM_INFO_CLOSED	"It's locked. There's a curious clock inside."
DININGROOM_MURRAY_BAILLE	"What are you up to?
Daydreaming, are we?"

DININGROOM_MURRAY_HELLO	"Hello sailor, I'm Samuel Murray.
Who are you?"

DININGROOM_ASHLEY_MYNAME	I'm Ashley. Perhaps I can help you...
DININGROOM_MURRAY_AREYOU	Who said I needed help? You a pirate?
DININGROOM_ASHLEY_NOTEXACT	Not exactly... I've come to... actually, I can't really explain...
DININGROOM_MURRAY_SHOWME	"Forget it! I only talk to pirates. Show me you're a worthy pirate!"
DININGROOM_ASHLEY_HOW	Very well... So captain, tell me what I'm to do.
DININGROOM_MURRAY_HOW	"Start by putting things back in their places! My galleon has seen better days."
DININGROOM_ASHLEY_OKLETSTRY	OK, let's see if we can do what he asks...
DININGROOM_MURRAY_PRISONER	I'm held prisoner here. Can you help me?
DININGROOM_ASHLEY_IMEDIUM	I'm convinced I can help you somehow and free you of your troubles.
DININGROOM_MURRAY_HOWCANYOU	How can you unshackle me?
DININGROOM_ASHLEY_GIVEME	Give me your hand and I'll discover what's keeping you here.
DININGROOM_ASHLEY_FINISH	I'm finished in this room.
DININGROOM_MURRAY_EPILOG1	What powers! You can now go into the beyond, sailor.
DININGROOM_MURRAY_EPILOG2	Beware, Ashley. You will meet some foul winds!
DININGROOM_ASHLEY_NEEDWATER	I should put that out, and quickly... water! Perhaps in the kitchen?
DININGROOM_ASHLEY_USEPAN	Use the saucepan of water on it to douse the flames.
DININGROOM_ASHLEY_VASEBOAT	This vase seems to be here for a reason. Perhaps to draw attention to the galleon.
DININGROOM_VOICEOVER_MISSING	Something's missing here.
DININGROOM_MURRAY_ORDER	Tidy up around here and my galleon will look all the more splendid.
DININGROOM_MURRAY_DANGERFIRE	Put that out! Fires are dangerous! Some pirate you are!
DININGROOM_MURRAY_KEY	Did you find out what the first key is used for?
DININGROOM_MURRAY_NOTFINISH	So greenhorn, you're not finished yet?
DININGROOM_MURRAY_CLOCK	How about you put the clock right.
DININGROOM_MURRAY_2DRAWER	The clock's got two drawers, right?
DININGROOM_MURRAY_WHERETRE	Where do pirates put their treasure?
DININGROOM_MURRAY_GIVEME	You have the treasure? Give it to me!
DININGROOM_MURRAY_PROGRESS	So, are you making progress?
DININGROOM_MURRAY_NEAR	Ahh! You're nearly there!
DININGROOM_MURRAY_BRAVO	The treasure! Bless my barnacles, you're a true pirate!
DININGROOM_MURRAY_TRUST	You've earned my trust.
DININGROOM_MURRAY_WELLDONE	You're done! But tidying up is not the work of pirates!
DININGROOM_MURRAY_SERIOUS	Down to business.
DININGROOM_ASHLEY_CRAZY	Hey! What's the matter with you?
DININGROOM_MURRAY_CIGAR	"No cause for concern sailor, I have many more where that came from!
I'll light another, don't you worry."

DININGROOM_VOICEOVER_CARPET	Something's hidden under the mat.
DININGBOOK_ASHLEY_ILLUS	The scrap of paper came from this illustration.
DININGBOOK_ASHLEY_CLUE	There must be a clue in this picture.
DININGBOAT_ASHLEY_REPAIR	A piece of the mast is missing.
DININGBOAT_ASHLEY_THETRES	The treasure!
DININGCLOCK_ASHLEY_PAPERFIRST	I must pick up the scrap of paper first.
DININGCLOCK_ASHLEY_WOODFIRST	I must find the piece of mast first.
